"","MMRF","Gamer1","Gamer2","Gamer3"
"H2AC6",1,0,0,0
"CTSW",1,1,1,0
"ZNF331",1,1,0,0
"METRNL",1,0,0,0
"TUBB3",1,0,0,0
"RHBDD2",1,0,0,0
"NEK6",1,0,0,0
"ATF4",1,1,0,0
"SCARNA7",1,1,0,0
"COL1A1",1,0,0,0
"PINK1",1,0,0,0
"CFAP91",1,0,0,0
"RPL21P60",1,0,0,0
"PRMT1P1",1,0,0,0
"EXOC3L4",1,0,0,0
"TSSK1A",1,0,0,0
"DEDD2",1,0,0,0
"GIPR",1,1,0,0
"ANKRD20A1",1,0,0,0
"MRC2",1,0,1,0
"SLAMF8",1,0,0,0
"BMS1P4",1,0,0,0
"CFAP45",1,0,0,0
"GLUD1P3",1,0,0,0
"ANK3",1,0,0,1
"KIT",1,0,1,0
"NIBAN3",1,0,0,0
"FBXO33",1,0,0,0
"RPL18AP3",1,1,0,0
"EID3",1,0,0,0
"CD274",1,0,0,0
"ECT2L",1,0,0,0
"PDCD1LG2",1,1,0,0
"SYTL3",1,0,0,0
"CLK4",1,0,0,0
"SLC4A1",1,0,1,0
"CTTN",1,0,0,1
"KRT8P11",1,0,0,0
"CCDC158",1,0,0,0
"RUNDC3A",1,0,0,0
"PPP2R5CP",1,0,0,0
"VAMP1",1,0,0,0
"ST6GAL1",1,0,0,0
"ITGA2B",1,0,0,0
"KLF15",1,0,0,0
"CD34",1,0,0,0
"NTN5",1,0,0,0
"RAB30",1,1,0,0
"FNIP1",1,0,0,0
"RASGEF1B",1,1,0,0
"XKR8",1,0,0,0
"EIF3K",1,0,0,0
"CCN2",1,0,0,0
"CFAP210",1,0,0,0
"ANO9",1,0,0,0
"TESK2",1,0,1,0
"CYP3A43",1,0,0,0
"P2RY2",1,0,0,0
"CAPN12",1,0,0,0
"LGALS4",1,0,0,0
"CNR1",1,0,0,0
"HLA-DOA",1,0,0,0
"APH1B",1,1,0,0
"PHLPP2",1,1,0,0
"GSN",1,0,0,0
"PCDHGB6",1,0,0,0
"DNAJC19P5",1,0,0,0
"SLC22A17",1,1,0,0
"HID1",1,0,0,0
"REEP6",1,0,0,0
"DCHS1",1,1,1,0
"PCDHB9",1,0,0,0
"PCDHB10",1,0,0,0
"HERC6",1,0,0,0
"LRRC32",1,1,0,0
"SECISBP2L",1,0,0,0
"SLC25A2",1,0,0,0
"TSKU",1,0,0,0
"LAMB2",1,0,0,0
"CAPN5",1,0,0,0
"KLHDC8B",1,0,0,0
"PHF1",1,1,0,0
"PLAC9",1,0,0,0
"NPHP3-ACAD11",1,0,0,0
"NRCAM",1,0,0,0
"CYP46A1",1,0,1,0
"ASGR1",1,0,0,0
"RAB8B",1,1,0,0
"CREBRF",1,1,0,0
"CDC42P5",1,0,0,0
"PLCB2",1,0,0,0
"RPL32",1,0,0,0
"PF4",1,1,0,0
"CXCL3",1,1,0,0
"PDZK1IP1",1,1,0,1
"TOMM7",1,0,1,0
"RAB6B",1,0,0,0
"LRP11",1,0,0,0
"GABARAP",1,0,0,1
"PIP5K1B",1,1,0,0
"RPL21P119",1,0,0,0
